COO	9000	9000	0.005	3.08708
CSR	9000	9000	0.01	3.15529
COO	9000	9000	0.01	3.17037
CSR	9000	9000	0.02	3.29341
COO	9000	9000	0.02	3.29030
CSR	9000	9000	0.005	3.13309
COO	9000	9000	0.005	3.12979
CSR	9000	9000	0.01	3.15309
COO	9000	9000	0.01	3.15982
CSR	9000	9000	0.02	3.27958
COO	9000	9000	0.02	3.28989
CSR	9000	9000	0.005	3.09839
COO	9000	9000	0.005	3.10459
CSR	9000	9000	0.01	3.15220
COO	9000	9000	0.01	3.15414
CSR	9000	9000	0.02	3.29905
COO	9000	9000	0.02	3.28659
CSR	9000	9000	0.005	3.08774
COO	9000	9000	0.005	3.09745
CSR	9000	9000	0.01	3.21552
COO	9000	9000	0.01	3.21983
CSR	9000	9000	0.02	3.28331
COO	9000	9000	0.02	3.28273
CSR	9000	9000	0.005	3.12773
COO	9000	9000	0.005	3.12861
CSR	9000	9000	0.01	3.14939
COO	9000	9000	0.01	3.16011
CSR	9000	9000	0.02	3.36407
COO	9000	9000	0.02	3.37412
CSR	11000	11000	0.005	4.61857
COO	11000	11000	0.005	4.61824
CSR	11000	11000	0.01	4.73543
COO	11000	11000	0.01	4.71601
CSR	11000	11000	0.02	4.90396
COO	11000	11000	0.02	5.03482
CSR	11000	11000	0.005	4.61869
COO	11000	11000	0.005	4.63167
CSR	11000	11000	0.01	4.72118
COO	11000	11000	0.01	4.71314
CSR	11000	11000	0.02	4.92143
COO	11000	11000	0.02	4.97374
CSR	11000	11000	0.005	4.62826
COO	11000	11000	0.005	4.62363
CSR	11000	11000	0.01	4.71702
COO	11000	11000	0.01	4.72001
CSR	11000	11000	0.02	4.90148
COO	11000	11000	0.02	4.91999
CSR	11000	11000	0.005	4.62063
COO	11000	11000	0.005	4.63746
CSR	11000	11000	0.01	4.73111
COO	11000	11000	0.01	4.72768
CSR	11000	11000	0.02	4.99716
COO	11000	11000	0.02	5.02978
CSR	11000	11000	0.005	4.62265
COO	11000	11000	0.005	4.69705
CSR	11000	11000	0.01	4.71975
COO	11000	11000	0.01	4.72134
CSR	11000	11000	0.02	4.90895
COO	11000	11000	0.02	4.93073
CSR	11000	11000	0.005	4.62437
COO	11000	11000	0.005	4.62273
CSR	11000	11000	0.01	4.77451
COO	11000	11000	0.01	4.79936
CSR	11000	11000	0.02	4.93504
COO	11000	11000	0.02	4.94884
CSR	11000	11000	0.005	4.61978
COO	11000	11000	0.005	4.63335
CSR	11000	11000	0.01	4.71541
COO	11000	11000	0.01	4.71922
CSR	11000	11000	0.02	4.91932
COO	11000	11000	0.02	4.91990
CSR	11000	11000	0.005	4.82356
COO	11000	11000	0.005	4.62539
CSR	11000	11000	0.01	4.70411
COO	11000	11000	0.01	4.73634
CSR	11000	11000	0.02	4.90858
COO	11000	11000	0.02	4.92786
CSR	11000	11000	0.005	4.68070
COO	11000	11000	0.005	4.68347
CSR	11000	11000	0.01	4.83941
COO	11000	11000	0.01	4.84624
CSR	11000	11000	0.02	4.90324
COO	11000	11000	0.02	4.92071
CSR	11000	11000	0.005	4.62420
COO	11000	11000	0.005	4.62767
CSR	11000	11000	0.01	4.70582
COO	11000	11000	0.01	4.72030
CSR	11000	11000	0.02	4.93369
COO	11000	11000	0.02	4.92836
CSR	13000	13000	0.005	6.62589
COO	13000	13000	0.005	6.48281
CSR	13000	13000	0.01	6.58929
COO	13000	13000	0.01	6.59145
CSR	13000	13000	0.02	6.84734
COO	13000	13000	0.02	6.89424
CSR	13000	13000	0.005	6.45374
COO	13000	13000	0.005	6.47988
CSR	13000	13000	0.01	6.63128
COO	13000	13000	0.01	6.76497
CSR	13000	13000	0.02	6.91886
COO	13000	13000	0.02	6.93366
CSR	13000	13000	0.005	6.45251
COO	13000	13000	0.005	6.48332
CSR	13000	13000	0.01	6.59361
COO	13000	13000	0.01	6.60084
CSR	13000	13000	0.02	6.95169
COO	13000	13000	0.02	7.15988
CSR	13000	13000	0.005	6.54722
COO	13000	13000	0.005	6.54971
CSR	13000	13000	0.01	6.59958
COO	13000	13000	0.01	6.72010
CSR	13000	13000	0.02	7.20098
COO	13000	13000	0.02	7.19637
CSR	13000	13000	0.005	6.47152
COO	13000	13000	0.005	6.64296
CSR	13000	13000	0.01	6.59039
COO	13000	13000	0.01	6.59925
CSR	13000	13000	0.02	6.86782
COO	13000	13000	0.02	6.91148
CSR	13000	13000	0.005	6.46458
COO	13000	13000	0.005	6.47399
CSR	13000	13000	0.01	6.60208
COO	13000	13000	0.01	6.68545
CSR	13000	13000	0.02	6.85650
COO	13000	13000	0.02	6.89766
CSR	13000	13000	0.005	6.55348
COO	13000	13000	0.005	6.65711
CSR	13000	13000	0.01	6.59399
COO	13000	13000	0.01	6.66409
CSR	13000	13000	0.02	6.86219
COO	13000	13000	0.02	6.90544
CSR	13000	13000	0.005	6.54434
COO	13000	13000	0.005	6.56833
CSR	13000	13000	0.01	6.62746
COO	13000	13000	0.01	6.68804
CSR	13000	13000	0.02	6.89165
COO	13000	13000	0.02	6.90769
CSR	13000	13000	0.005	6.50891
COO	13000	13000	0.005	6.53770
CSR	13000	13000	0.01	6.65849
COO	13000	13000	0.01	6.59912
CSR	13000	13000	0.02	6.85338
COO	13000	13000	0.02	6.90230
CSR	13000	13000	0.005	6.44688
COO	13000	13000	0.005	6.46246
CSR	13000	13000	0.01	6.55206
COO	13000	13000	0.01	6.58368
CSR	13000	13000	0.02	6.85798
COO	13000	13000	0.02	6.87798
CSR	15000	15000	0.005	8.59216
COO	15000	15000	0.005	8.59558
CSR	15000	15000	0.01	8.77477
COO	15000	15000	0.01	8.78985
CSR	15000	15000	0.02	9.13708
COO	15000	15000	0.02	9.15429
CSR	15000	15000	0.005	8.60544
COO	15000	15000	0.005	8.61864
CSR	15000	15000	0.01	8.87194
COO	15000	15000	0.01	8.86763
CSR	15000	15000	0.02	9.12672
COO	15000	15000	0.02	9.16197
CSR	15000	15000	0.005	8.59504
COO	15000	15000	0.005	8.60491
CSR	15000	15000	0.01	8.79259
COO	15000	15000	0.01	8.79480
CSR	15000	15000	0.02	9.12631
COO	15000	15000	0.02	9.21054
CSR	15000	15000	0.005	8.64322
COO	15000	15000	0.005	8.63841
CSR	15000	15000	0.01	8.78375
COO	15000	15000	0.01	8.81198
CSR	15000	15000	0.02	9.14388
COO	15000	15000	0.02	9.15985
CSR	15000	15000	0.005	8.84370
COO	15000	15000	0.005	8.82247
CSR	15000	15000	0.01	8.78484
COO	15000	15000	0.01	8.92177
CSR	15000	15000	0.02	9.12350
COO	15000	15000	0.02	9.15408
CSR	15000	15000	0.005	8.63171
COO	15000	15000	0.005	8.63001
CSR	15000	15000	0.01	8.76298
COO	15000	15000	0.01	8.76920
CSR	15000	15000	0.02	9.25119
COO	15000	15000	0.02	9.17712
CSR	15000	15000	0.005	8.61307
COO	15000	15000	0.005	8.60952
CSR	15000	15000	0.01	8.77480
COO	15000	15000	0.01	8.78897
CSR	15000	15000	0.02	9.13031
COO	15000	15000	0.02	9.14187
CSR	15000	15000	0.005	8.59059
COO	15000	15000	0.005	8.61518
CSR	15000	15000	0.01	8.80075
COO	15000	15000	0.01	8.79245
